#{"env_id": "RegularMiniPacmanNoFrameskip-v0", "t_start": 1526847323.20291}
r,l,t
271.0,436,14664.293977
135.0,222,14680.822554
1.0,18,14680.8376
46.0,56,14684.883305
37.0,49,14688.221919
20.0,39,14689.824459
422.0,769,14752.234735
2.0,18,14752.288325
280.0,479,14791.056674
59.0,82,14796.938093
216.0,361,14825.798433
271.0,437,14862.318105
270.0,435,14897.883446
279.0,442,14935.179791
238.0,437,14969.520487
1.0,12,14969.533183
422.0,660,15024.867693
75.0,118,15033.364473
42.0,58,15036.894669
137.0,267,15057.720429
190.0,306,15081.467148
283.0,478,15120.232298
32.0,37,15122.791252
238.0,512,15165.484175
272.0,494,15205.073511
94.0,101,15213.324444
278.0,518,15255.337528
95.0,153,15266.92432
1.0,11,15266.935457
151.0,240,15286.962881
139.0,1128,15381.638925
348.0,613,15432.577697
134.0,233,15450.83789
134.0,186,15465.387487
86.0,112,15473.948492
373.0,627,15525.376236
230.0,453,15562.251408
127.0,227,15579.981047
85.0,131,15588.777279
423.0,711,15646.04056
296.0,470,15684.551264
283.0,453,15722.097393
138.0,181,15736.786972
270.0,418,15771.067791
139.0,211,15788.012702
265.0,410,15820.660047
128.0,174,15834.409611
72.0,89,15840.377827
128.0,173,15854.518922
123.0,176,15869.386611
80.0,130,15877.779268
16.0,29,15879.020115
1.0,15,15879.033536
405.0,648,15932.77753
126.0,174,15946.389261
235.0,399,15978.474823
1.0,21,15978.490609
176.0,275,16001.062062
244.0,409,16033.298309
1.0,17,16033.312921
27.0,29,16035.572243
350.0,739,16094.938467
287.0,485,16133.715402
7.0,57,16136.152599
72.0,75,16142.037071
43.0,68,16145.685421
331.0,488,16184.863834
60.0,74,16190.500736
116.0,178,16203.123912
136.0,348,16230.701553
80.0,107,16238.224611
275.0,614,16289.538276
298.0,442,16325.934259
74.0,136,16335.071388
276.0,409,16368.146351
134.0,332,16393.587137
263.0,424,16428.919373
138.0,261,16449.501252
258.0,456,16486.872791
345.0,800,16553.057124
184.0,358,16581.050752
276.0,483,16619.841311
195.0,324,16644.367265
134.0,197,16660.005585
10.0,36,16661.9745
88.0,124,16670.688575
130.0,183,16684.798854
127.0,198,16699.980738
137.0,531,16742.641513
334.0,501,16784.499728
247.0,358,16813.340294
402.0,885,16887.976043
65.0,88,16894.041434
257.0,434,16928.868935
112.0,139,16940.381925
139.0,461,16977.899363
403.0,583,17025.008959
265.0,481,17063.429827
44.0,54,17066.7846
215.0,416,17099.338335
256.0,384,17129.498916
280.0,488,17168.411252
140.0,284,17189.452189
272.0,391,17220.736914
109.0,135,17231.961647
84.0,108,17240.128692
423.0,1448,17360.805003
118.0,143,17372.75932
1.0,17,17372.777517
119.0,137,17383.853739
82.0,132,17392.438172
127.0,190,17406.184565
125.0,154,17418.468427
141.0,425,17453.387534
249.0,408,17486.148437
137.0,217,17504.171349
69.0,76,17509.589764
117.0,151,17521.907286
99.0,150,17533.036768
