command line args: /home/flo/Dokumente/Master_GuidedResearch/state_space_model_trainer.py --latent-space-model sSSM --lr 0.0005 --skip-frames 4 --weight-decay 0 --render --load-policy-model --batch-size 5 --sample-memory-size 50 --rollout-steps 10

Updates 241, num timesteps 1210, FPS 33, frame loss 0.47716, reward loss 0.93462, pred reward 0.00000, reward 0.00000, time 0.60463 min
Updates 243, num timesteps 1220, FPS 33, frame loss 0.47642, reward loss 0.93468, pred reward 0.00000, reward 0.00000, time 0.60881 min
Updates 245, num timesteps 1230, FPS 33, frame loss 0.47569, reward loss 0.93464, pred reward 0.00000, reward 0.00000, time 0.61298 min
Updates 247, num timesteps 1240, FPS 33, frame loss 0.47497, reward loss 0.93469, pred reward 0.00000, reward 0.00000, time 0.61718 min
Updates 249, num timesteps 1250, FPS 33, frame loss 0.47425, reward loss 0.93495, pred reward 0.00000, reward 0.00000, time 0.62147 min
Updates 249, num timesteps 1250, FPS 33, frame loss 0.47425, reward loss 0.93495, pred reward 0.00000, reward 0.00000, time 0.62157 min
Updates 251, num timesteps 1260, FPS 33, frame loss 0.47356, reward loss 0.93500, pred reward 0.00000, reward 0.00000, time 0.62953 min
Updates 253, num timesteps 1270, FPS 33, frame loss 0.47288, reward loss 0.93500, pred reward 0.00000, reward 0.00000, time 0.63369 min
Updates 255, num timesteps 1280, FPS 33, frame loss 0.47221, reward loss 0.93509, pred reward 0.00000, reward 0.00000, time 0.63792 min
Updates 257, num timesteps 1290, FPS 33, frame loss 0.47154, reward loss 0.93529, pred reward 0.00000, reward 0.00000, time 0.64209 min
Updates 259, num timesteps 1300, FPS 33, frame loss 0.47089, reward loss 0.93543, pred reward 0.00000, reward 0.00000, time 0.64625 min
Updates 259, num timesteps 1300, FPS 33, frame loss 0.47089, reward loss 0.93543, pred reward 0.00000, reward 0.00000, time 0.64636 min
Updates 261, num timesteps 1310, FPS 33, frame loss 0.47024, reward loss 0.93552, pred reward 0.00000, reward 0.00000, time 0.65444 min
