command line args: I2A/EnvironmentModel/make_environment_model.py --env-name HuntMiniPacmanNoFrameskip-v0 --use-class-labels --load-policy-model --batch-size 2000 --lr 7e-4 --eps 1e-8 --reward-loss-coef 0.01 --save-environment-model-dir trained_models/environment_models/ --load-policy-model-dir trained_models/a2c/ --port 5025

Updates 1559, num timesteps 3120000, FPS 2326, frame loss 0.04918, reward loss 5.54424, pred reward 0.00000, reward 10.00000, time 22.35170 min
Updates 1569, num timesteps 3140000, FPS 2326, frame loss 0.04891, reward loss 5.54346, pred reward 0.00000, reward 0.00000, time 22.49893 min
Updates 1579, num timesteps 3160000, FPS 2324, frame loss 0.04864, reward loss 5.54641, pred reward 0.00000, reward 0.00000, time 22.65829 min
Updates 1589, num timesteps 3180000, FPS 2324, frame loss 0.04838, reward loss 5.54812, pred reward 0.00000, reward 0.00000, time 22.79882 min
Updates 1599, num timesteps 3200000, FPS 2325, frame loss 0.04812, reward loss 5.55044, pred reward 0.00000, reward 0.00000, time 22.93649 min
Updates 1609, num timesteps 3220000, FPS 2325, frame loss 0.04786, reward loss 5.55179, pred reward 0.00000, reward 0.00000, time 23.07304 min
Updates 1619, num timesteps 3240000, FPS 2326, frame loss 0.04761, reward loss 5.54896, pred reward 0.00000, reward 0.00000, time 23.20831 min
Updates 1629, num timesteps 3260000, FPS 2326, frame loss 0.04736, reward loss 5.55080, pred reward 0.00000, reward 0.00000, time 23.35122 min
Updates 1639, num timesteps 3280000, FPS 2327, frame loss 0.04711, reward loss 5.55200, pred reward 0.00000, reward 0.00000, time 23.49095 min
Updates 1649, num timesteps 3300000, FPS 2327, frame loss 0.04686, reward loss 5.55019, pred reward 0.00000, reward 0.00000, time 23.62780 min
Updates 1659, num timesteps 3320000, FPS 2328, frame loss 0.04662, reward loss 5.55041, pred reward 0.00000, reward 0.00000, time 23.76741 min
Updates 1669, num timesteps 3340000, FPS 2328, frame loss 0.04638, reward loss 5.54816, pred reward 0.00000, reward 0.00000, time 23.91124 min
Updates 1679, num timesteps 3360000, FPS 2329, frame loss 0.04614, reward loss 5.54861, pred reward 0.00000, reward 0.00000, time 24.04464 min
Updates 1689, num timesteps 3380000, FPS 2329, frame loss 0.04591, reward loss 5.54991, pred reward 0.00000, reward 0.00000, time 24.17953 min
Updates 1699, num timesteps 3400000, FPS 2330, frame loss 0.04568, reward loss 5.55087, pred reward 0.00000, reward 0.00000, time 24.31547 min
Updates 1709, num timesteps 3420000, FPS 2330, frame loss 0.04545, reward loss 5.54943, pred reward 0.00000, reward 0.00000, time 24.46181 min
Updates 1719, num timesteps 3440000, FPS 2330, frame loss 0.04522, reward loss 5.54614, pred reward 0.00000, reward -20.00000, time 24.59954 min
Updates 1729, num timesteps 3460000, FPS 2331, frame loss 0.04500, reward loss 5.54834, pred reward 0.00000, reward 0.00000, time 24.73252 min
Updates 1739, num timesteps 3480000, FPS 2332, frame loss 0.04478, reward loss 5.54579, pred reward 0.00000, reward 0.00000, time 24.86965 min
Updates 1749, num timesteps 3500000, FPS 2332, frame loss 0.04456, reward loss 5.54629, pred reward 0.00000, reward 0.00000, time 25.00978 min
Updates 1759, num timesteps 3520000, FPS 2333, frame loss 0.04435, reward loss 5.54522, pred reward 0.00000, reward 0.00000, time 25.14282 min
Updates 1769, num timesteps 3540000, FPS 2332, frame loss 0.04413, reward loss 5.54535, pred reward 0.00000, reward 0.00000, time 25.29284 min
Updates 1779, num timesteps 3560000, FPS 2332, frame loss 0.04392, reward loss 5.54567, pred reward 0.00000, reward 0.00000, time 25.43258 min
Updates 1789, num timesteps 3580000, FPS 2333, frame loss 0.04371, reward loss 5.54546, pred reward 0.00000, reward 0.00000, time 25.57007 min
Updates 1799, num timesteps 3600000, FPS 2334, frame loss 0.04350, reward loss 5.54326, pred reward 0.00000, reward 0.00000, time 25.70459 min
Updates 1809, num timesteps 3620000, FPS 2334, frame loss 0.04330, reward loss 5.54331, pred reward 0.00000, reward 0.00000, time 25.84256 min
Updates 1819, num timesteps 3640000, FPS 2334, frame loss 0.04310, reward loss 5.54353, pred reward 0.00000, reward 0.00000, time 25.98287 min
Updates 1829, num timesteps 3660000, FPS 2335, frame loss 0.04290, reward loss 5.54563, pred reward 0.00000, reward 0.00000, time 26.12310 min
Updates 1839, num timesteps 3680000, FPS 2335, frame loss 0.04270, reward loss 5.54467, pred reward 0.00000, reward 0.00000, time 26.26077 min
Updates 1849, num timesteps 3700000, FPS 2335, frame loss 0.04251, reward loss 5.54401, pred reward 0.00000, reward 0.00000, time 26.40018 min
Updates 1859, num timesteps 3720000, FPS 2336, frame loss 0.04231, reward loss 5.54382, pred reward 0.00000, reward 0.00000, time 26.53913 min
Updates 1869, num timesteps 3740000, FPS 2336, frame loss 0.04212, reward loss 5.54341, pred reward 0.00000, reward 0.00000, time 26.67297 min
Updates 1879, num timesteps 3760000, FPS 2337, frame loss 0.04193, reward loss 5.54104, pred reward 0.00000, reward 0.00000, time 26.80727 min
Updates 1889, num timesteps 3780000, FPS 2338, frame loss 0.04174, reward loss 5.53936, pred reward 0.00000, reward 0.00000, time 26.94356 min
Updates 1899, num timesteps 3800000, FPS 2338, frame loss 0.04156, reward loss 5.53885, pred reward 0.00000, reward 0.00000, time 27.08834 min
